run,level,seed,overlay,split,mAP50-95,mAP50,mAP75,mAP_small,mAP_medium,mAP_large,AP_S.aureus,AP_B.subtilis,AP_P.aeruginosa,AP_E.coli,AP_C.albicans,MAE,RMSE,sMAPE,ME,count_r,conf_thr_count,n_train,n_val,n_images,n_gt_boxes,imgsz,batch,epochs_planned,epochs_actual,total_min,sec_per_epoch,gpu_hours,peak_vram_gb,images_per_sec,ms_per_image,gpu_name,torch,git_commit,date_utc,smoke_test
G100_s0,100,0,base,val,0.69875,0.97323,0.84875,0.57419,0.6474,0.75252,0.69009,0.65959,0.72361,0.76514,0.65535,0.79375,2.62619,5.12107,-0.15625,0.99054,0.35,2987,640,640,12009,1280,4,150,87,211.37,145.77,3.5228,3.916,20.49,94.81,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,5c84121,2026-08-28T10:52:16.493011+00:00,False
G100_s1,100,1,base,val,0.69476,0.97442,0.83822,0.5582,0.65088,0.69534,0.69583,0.65392,0.71739,0.76723,0.63941,0.83906,2.67716,5.38051,-0.18594,0.99012,0.35,2987,640,640,12009,1280,4,150,100,275.71,165.43,4.5952,3.916,18.06,96.73,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,852bafa,2026-09-08T14:30:27.309315+00:00,False
G100_s2,100,2,base,val,0.69677,0.9708,0.83947,0.57941,0.63364,0.6664,0.68324,0.66049,0.72235,0.76646,0.65129,0.91719,3.27705,7.11328,-0.48906,0.98563,0.4,2987,640,640,12009,1280,4,150,86,235.25,164.13,3.9208,3.916,18.2,94.94,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,852bafa,2026-09-08T19:08:39.569227+00:00,False
G100_s3,100,3,base,val,0.70391,0.97544,0.85604,0.58435,0.6526,0.7707,0.68653,0.67573,0.72945,0.76775,0.66011,0.84531,3.06416,5.10584,-0.32969,0.98718,0.4,2987,640,640,12009,1280,4,150,112,298.23,159.77,4.9705,3.916,18.7,92.88,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,852bafa,2026-09-08T23:25:14.579233+00:00,False
G100_s4,100,4,base,val,0.70086,0.97469,0.85105,0.57495,0.64421,0.60547,0.6955,0.66312,0.72026,0.77074,0.65467,0.78281,2.50031,4.15279,-0.16094,0.99148,0.35,2987,640,640,12009,1280,4,150,106,284.07,160.79,4.7345,3.916,18.58,91.57,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,852bafa,2026-09-09T04:24:51.974515+00:00,False
G50_s0,50,0,base,val,0.67911,0.96717,0.81635,0.51635,0.62789,0.72041,0.65514,0.63895,0.70705,0.75867,0.63576,0.77187,2.02947,4.50596,-0.08125,0.99437,0.35,1491,640,640,12009,1280,4,150,120,188.39,94.19,3.1398,4.201,15.83,95.68,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,88498d4,2026-09-09T17:23:37.744707+00:00,False
G50_s1,50,1,base,val,0.67911,0.96566,0.81193,0.54906,0.62884,0.73767,0.68086,0.61814,0.70109,0.75926,0.63622,1.11563,3.09637,6.49158,-0.1,0.98683,0.35,1491,640,640,12009,1280,4,150,106,159.63,90.36,2.6606,4.191,16.5,90.73,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,88498d4,2026-09-09T20:33:56.832950+00:00,False
G50_s2,50,2,base,val,0.68333,0.96838,0.82235,0.56722,0.62424,0.54265,0.67916,0.64912,0.69442,0.75284,0.64111,0.94219,2.94401,4.48717,-0.22344,0.98816,0.4,1491,640,640,12009,1280,4,150,109,160.02,88.09,2.6671,4.191,16.93,88.47,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,88498d4,2026-09-09T23:14:55.500386+00:00,False
G50_s3,50,3,base,val,0.68461,0.97234,0.82189,0.54903,0.62614,0.59696,0.67633,0.64814,0.70371,0.76018,0.63467,0.73125,1.91866,4.40347,-0.10938,0.99502,0.35,1491,640,640,12009,1280,4,150,107,168.46,94.46,2.8077,4.217,15.78,170.28,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,d385b62,2026-09-11T13:27:49.679020+00:00,False
G50_s4,50,4,base,val,0.6784,0.96226,0.81788,0.53824,0.62474,0.56121,0.6682,0.63506,0.69529,0.75637,0.63708,1.1,3.17657,7.68123,-0.15,0.98602,0.35,1491,640,640,12009,1280,4,150,99,150.77,91.37,2.5128,4.191,16.32,97.57,NVIDIA GeForce RTX 4060 Laptop GPU,2.13.0+cu130,0a5fd6d,2026-09-11T16:18:54.763459+00:00,False
